:IngredientName,IngredientType,Unit,Unit,Recipe
EDIT_PRE_PVD1_Gas1_EnVal,Analog,EDIT_PRE_PVD1_Gas1_EnVal,,0
EDIT_PRE_PVD1_Gas1_RTp,Analog,EDIT_PRE_PVD1_Gas1_RTp,,0
EDIT_PRE_PVD1_Gas1_RT,Analog,EDIT_PRE_PVD1_Gas1_RT,,0
EDIT_PRE_PVD1_Gas1_RR,Analog,EDIT_PRE_PVD1_Gas1_RR,,0
EDIT_PRE_PVD1_Gas1_HT,Analog,EDIT_PRE_PVD1_Gas1_HT,,0
EDIT_PRE_PVD1_Gas1_HR,Analog,EDIT_PRE_PVD1_Gas1_HR,,0
EDIT_PRE_PVD1_Gas2_StVal,Analog,EDIT_PRE_PVD1_Gas2_StVal,,0
EDIT_PRE_PVD1_Gas2_EnVal,Analog,EDIT_PRE_PVD1_Gas2_EnVal,,0
EDIT_PRE_PVD1_Gas2_RTp,Analog,EDIT_PRE_PVD1_Gas2_RTp,,0
EDIT_PRE_PVD1_Gas2_RT,Analog,EDIT_PRE_PVD1_Gas2_RT,,0
EDIT_PRE_PVD1_Gas2_RR,Analog,EDIT_PRE_PVD1_Gas2_RR,,0
EDIT_PRE_PVD1_Gas2_HT,Analog,EDIT_PRE_PVD1_Gas2_HT,,0
EDIT_PRE_PVD1_Gas2_HR,Analog,EDIT_PRE_PVD1_Gas2_HR,,0
EDIT_PRE_PVD1_Gas3_StVal,Analog,EDIT_PRE_PVD1_Gas3_StVal,,0
EDIT_PRE_PVD1_Gas3_EnVal,Analog,EDIT_PRE_PVD1_Gas3_EnVal,,0
EDIT_PRE_PVD1_Gas3_RTp,Analog,EDIT_PRE_PVD1_Gas3_RTp,,0
EDIT_PRE_PVD1_Gas3_RT,Analog,EDIT_PRE_PVD1_Gas3_RT,,0
EDIT_PRE_PVD1_Gas3_RR,Analog,EDIT_PRE_PVD1_Gas3_RR,,0
EDIT_PRE_PVD1_Gas3_HT,Analog,EDIT_PRE_PVD1_Gas3_HT,,0
EDIT_PRE_PVD1_Gas3_HR,Analog,EDIT_PRE_PVD1_Gas3_HR,,0
EDIT_PRE_PVD1_Gas4_StVal,Analog,EDIT_PRE_PVD1_Gas4_StVal,,0
EDIT_PRE_PVD1_Gas4_EnVal,Analog,EDIT_PRE_PVD1_Gas4_EnVal,,0
EDIT_PRE_PVD1_Gas4_RTp,Analog,EDIT_PRE_PVD1_Gas4_RTp,,0
