:IngredientName,IngredientType,Unit,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
:Names,,"EDIT","TEST","INIT","---","PVD2_Ta2O5 cond FAT","PVD1_Nb2O5_cond FAT","PVD3_SiO2_cond FAT","PBS_on FAT","Heating_FAT","cooling_FAT","PVD2_Ta2O5_FAT","PVD1_Nb2O5_FAT","PVD3_SiO2_FAT","PVD3_SiO2_FO","PVD3_SiO2_FO v02"
"EDIT_LAYER_NAME",Message,"EDIT_LAYER_NAME","TEST_LAYERNAME","INIT","---","PVD2_Ta2O5 cond FAT","PVD1_Nb2O5_cond FAT","PVD3_SiO2_cond FAT","PBS_on FAT","Heating_FAT","cooling_FAT","PVD2_Ta2O5_FAT","PVD1_Nb2O5_FAT","PVD3_SiO2_FAT","PVD3_SiO2_FO","PVD3_SiO2_FO v02"
"EDIT_PRE_PVD1_Sply_StVal",Analog,"EDIT_PRE_PVD1_Sply_StVal","","0","0","5000","1500","5000","1500","1500","1500","5000","1500","5000","5000","5000"
"EDIT_PRE_PVD1_Sply_EnVal",Analog,"EDIT_PRE_PVD1_Sply_EnVal","","0","0","1000","4500","1000","4500","4500","4500","1000","4500","1000","1000","1000"
"EDIT_PRE_PVD1_Sply_RTp",Analog,"EDIT_PRE_PVD1_Sply_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD1_Sply_RT",Analog,"EDIT_PRE_PVD1_Sply_RT","","0","0","1","3","1","3","3","3","1","3","1","1","1"
"EDIT_PRE_PVD1_Sply_RR",Analog,"EDIT_PRE_PVD1_Sply_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD1_Sply_HT",Analog,"EDIT_PRE_PVD1_Sply_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD1_Sply_HR",Analog,"EDIT_PRE_PVD1_Sply_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD1_SplyMode",Analog,"EDIT_PRE_PVD1_SplyMode","","0","0","1","1","1","1","1","1","1","1","1","1","1"
"EDIT_PRE_PVD1_SplyTAP",Analog,"EDIT_PRE_PVD1_SplyTAP","","0","0","1","1","1","1","1","1","1","1","1","1","1"
"EDIT_PRE_PVD1_SplyCtrlMode",Analog,"EDIT_PRE_PVD1_SplyCtrlMode","","0","0","2","1","2","2","2","2","2","2","2","2","2"
"EDIT_PRE_PVD1_PlasPrSl",Analog,"EDIT_PRE_PVD1_PlasPrSl","","0","0","1","2","1","1","1","1","1","2","1","1","1"
"EDIT_PRE_PVD2_LS_StVal",Analog,"EDIT_PRE_PVD2_LS_StVal","","0","0","320","0","0","0","0","0","320","0","0","0","0"
"EDIT_PRE_PVD2_LS_EnVal",Analog,"EDIT_PRE_PVD2_LS_EnVal","","0","0","322","0","0","0","0","0","320","0","0","0","0"
"EDIT_PRE_PVD2_LS_RTp",Analog,"EDIT_PRE_PVD2_LS_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_LS_RT",Analog,"EDIT_PRE_PVD2_LS_RT","","0","0","3","0","0","0","0","0","3","0","0","0","0"
"EDIT_PRE_PVD2_LS_RR",Analog,"EDIT_PRE_PVD2_LS_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_LS_HT",Analog,"EDIT_PRE_PVD2_LS_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_LS_HR",Analog,"EDIT_PRE_PVD2_LS_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
